word;tone
помпезний;-1
понаїжджати;-1
понуро;-1
поплакати;-1
поповнювати;1
популярний;1
порадити;1
порадувати;1
порвати;-1
поржати;-1
порівнянний;1
порнографія;-2
порочне;-1
порушення;-1
порушник;-1
порушувати;-1
порядний;1
порятунок;1
посередник;-1
посередній;-1
посилений;1
посібник;-1
поскаржитися;-1
послідовник;1
посміховисько;-2
посмішка;1
постаратися;1
постраждати;-1
постріл;-1
посягання;-1
потворний;-2
потенціал;1
потомство;1
потрібний;1
потрійний;1
потужно;1
похабний;-2
похвала;1
похвальний;1
похмілля;-1
похмурий;-1
поховати;-1
поцілунок;1
почесний;2
пошкодження;-1
пошкоджувати;-1
пошлий;-1
пошлість;-1
пошлятина;-1
пощаститися;1
правдоподібний;1
праведний;1
правильний;1
правильність;1
правовірний;1
правопорушення;-1
правопорядок;1
працелюбний;2
презентабельний;1
презирство;-1
прекрасно;1
премудрий;1
препоганий;-2
прескорботний;-1
претензійний;-1
пречистий;1
пречудовий;-1
прибутковий;1
привабливий;1
привабливість;1
приватизувати;-1
привілей;1
привілейований;1
привітання;1
привітний;1
пригальмовувати;-1
пригнічення;-2
пригнічувати;-1
приголомшливий;1
приголосний;1
придатний;1
приємний;1
приємно;1
приїдатися;-1
прийнятний;1
прийшлий;-1
прикрий;-2
прилітати;-1
применшувати;-1
примирення;1
примирливий;1
примітивний;-1
примітивність;-1
примус;-1
примусовий;-1
примушувати;-1
примха;-1
примхливий;-1
приниження;-1
принижувати;-2
принизливий;-2
припадок;-1
присікання;-1
пристойно;1
пристрілювати;-1
приурочувати;1
прихильний;1
приховування;-1
пришелепкуватий;-1
пріоритет;1
проблема;-1
проблематичний;-1
проблемний;-1
провальний;-1
провалювати;-1
провина;-1
провокаційний;-2
провокація;-1
провокувати;-1
прогинатися;-1
проголошувати;-1
програвати;-1
програші;-1
прогрес;1
прогресивний;1
продуктивний;1
проігнорувати;-1
проклинати;-2
промахуватися;-1
променистий;1
проникати;-1
проникливий;1
пропагандист;-1
пропадати;-1
просвітитель;1
просвітницький;1
прославляти;1
просторікування;-1
прострочувати;-1
проступок;-1
протест;-1
протестувати;-1
противник;-1
протизаконний;-1
протизапальний;1
протиприродний;-1
протиріччя;-1
протитанковий;-1
професійний;1
процвітання;1
процвітати;1
прощати;1
псевдо;-1
псевдонауковий;-1
псих;-1
психіатричний;-1
психотропний;-1
псуватися;-1
пузатий;-1
пунктуальний;1
пустушка;-1
пухлина;-1
пухнастий;1
рабовласник;-1
рабський;-1
радикал;-1
радіаційний;-1
радісний;1
радість;2
радіти;1
радувати;1
разюче;1
раптовий;-1
расистський;-1
рваний;-1
рвати;-1
реабілітаційний;1
реабілітувати;1
реаліті-шоу;-1
ревний;-1
революціонер;-1
реготати;1
результативний;1
рейдерське;-1
рекомендація;1
рекомендувати;1
рекордний;1
релевантний;1
репресивний;-1
репресія;-1
репресований;-1
репресувати;-1
респект;1
респектабельний;1
ретельний;1
ретельно;1
ридати;-1
ризикований;-1
ризикувати;-1
рихлий;-1
рівність;1
рівномірний;1
рівноправний;1
рівноправність;1
різноманітний;1
рішучий;1
рішучість;1
родзинка;1
родючий;1
розбагатіти;1
розбещувати;-2
розбирання;-1
розбійник;-1
розбійницький;-1
розв'язний;-1
розв'язування;-1
розв'язувати;-1
розвага;1
розважальний;1
розважливий;1
розвалювати;-1
розвалюватися;-1
розвивати;1
розвінчання;-1
розводити;-1
розгоратися;-1
розгром;-1
розгромити;-1
роздавлювати;-1
роздратування;-1
роздратувати;-2
роздувати;-1
роззброєння;1
розкіш;-1
розкішний;1
розкладання;-1
розкрадання;-1
розкрадати;-2
розкритиковувати;-2
розкутий;1
розлад;-1
розпалювання;-1
розпалювати;-1
розплакатися;-1
розплачуватися;-1
розпливчастий;-1
розправлятися;-1
розпуста;-1
розрізнений;-1
розруха;-2
розсекречувати;1
розстріл;-1
розстрілювати;-2
розтління;-1
розуміння;1
розумний;1
розумниця;1
розумно;1
розчаровуватися;-1
розчарування;-1
розчленовувати;-2
романтичний;1
рублевський;-1
руїна;-1
руйнівний;-1
руйнування;-1
руйнувати;-2
руйнуватися;-1
русофіл;1
русофобський;-1
рутинний;-1
рухнути;-1
рясний;1
рятівник;1
садити;-1
сакральний;1
самовільний;-1
самовпевнений;-1
самогубець;-1
самогубний;-2
самогубство;-2
самодостатній;1
самозакоханий;-1
самозваний;-1
самокритичний;1
самомилування;-1
самоокупний;1
самотній;-1
саркастичний;-1
сатана;-1
сатанинський;-2
сатиричний;-1
свавілля;-1
сваритися;-1
сварка;-1
свастика;-1
свиня;-1
свіженький;1
світлий;1
своєчасний;1
святенництво;-1
святиня;1
святість;1
святковий;1
святкування;1
свято;1
священний;1
сексуальність;1
сенсаційний;1
сентиментальний;-1
серіальний;-1
симпатизувати;1
симпатичний;1
симпатія;1
сирітство;-1
сифіліс;-1
сірість;-1
скаженіти;-1
сказ;-1
скандал;-1
скандальний;-1
скаржитися;-1
скачувати;-1
скептик;-1
скептичний;-1
скептично;-1
скидання;-1
скінхед;-1
скнара;-1
скороспішний;-1
скорочувати;-1
скорочуватися;-1
скотина;-1
скотитися;-1
скромний;1
скрупульозний;1
скрутний;-1
скудний;-1
слабенький;-1
слабкий;-1
слабкість;-1
слаборозвинений;-1
слабуватий;-1
слабшати;-1
славитись;1
славненько;1
сліпий;-1
сліпучий;1
сльозливий;-1
смачний;1
смердіти;-1
смердючий;-2
смертельний;-2
смертник;-2
смертниця;-2
смертність;-1
смертоносний;-2
смерть;-1
сміливість;1
сміття;-1
сміхотворний;-1
смішний;1
смутний;-1
снайпер;-1
снайперський;-1
снаряд;-1
совковий;-1
содом;-2
содомія;-1
сокирний;-1
соковитий;1
солідний;1
солодкий;1
сонячний;1
соромно;-2
сортирний;-1
союзницький;1
спадщина;1
спалахливий;-1
спасибі;1
спекулянт;-1
спекуляція;-1
спиватися;-1
спиздити;-2
співдружність;1
співкамерник;-1
співпереживати;1
співчувати;1
споглядання;1
сподобатися;1
споживати;-1
спокій;1
спокусливий;1
справді;1
справедливий;1
справлятися;1
справний;1
справно;1
сприяння;1
сприяти;1
сприятливий;2
спробувати;1
спровокувати;-1
спрощувати;1
ссати;-2
стабільність;1
старанний;1
старанність;1
старечий;-1
старовинний;1
стереотипний;-1
стійкий;1
стійкість;1
стогнати;-1
стопудовий;1
страждання;-1
страйк;-1
стратегія;1
стратити;-1
страшненький;-1
стресовий;-1
стримування;-1
стріляти;-1
строгість;-1
стрункий;1
струс;-1
стурбованість;-1
стурбувати;-1
суджений;-1
судитися;-1
судомний;-1
суїцид;-1
султан;1
сумбурний;-1
сумлінний;1
сумний;-1
сумнівний;-1
сумно;-2
сумувати;-1
супер;1
суперництво;-1
суперсучасний;1
супротивитися;-1
сутенер;-2
сутичка;-1
сучий;-2
сфальсифікувати;-1
схвалення;1
схвальний;1
схвалювати;1
сюрреалістичний;-1
тактовний;1
талановитий;1
тварюка;-2
твердий;-1
тверезомислячий;1
творчість;1
терапія;-1
терзати;-1
тернистий;-1
тероризувати;-1
терорист;-2
терористичний;-1
терористка;-2
терпіти;-1
терплячий;1
тиран;-1
тиранічний;-2
тиранія;-2
тиск;-1
титанічна;1
тіньовий;-1
тлінний;-1
товариство;1
товариський;1
токсичний;-1
тоскний;-1
тоталітарний;-1
точність;1
травма;-1
травматичний;-1
травмувати;-1
трагедія;-2
трагічний;-2
траурний;-1
трахати;-2
трахатись;-2
трахнути;-2
третьосортний;-2
тривога;-1
тривожний;-1
троцькіст;-1
трудівник;1
труїти;-2
трухлявий;-1
трястися;-1
туберкульоз;-1
туга;-1
тугий;-1
тужливий;-1
тупик;-1
тупиковий;-1
тупити;-2
тупуватий;-1
тушка;-1
тхнути;-1
тюремний;-1
тяганина;-1
тяжба;-1
тяжкий;-1
тяжкохворий;-1
убезпечити;1
убійний;-1
ублюдок;-2
ублюдочний;-2
убозтво;-2
уважний;1
увічнення;1
угодний;-1
угруповання;-1
ударний;-1
ударостійкий;1
удача;1
удачливий;1
удостоювати;1
удостоюватися;1
уїдливий;-1
улесливий;-1
улюблений;1
умисел;-1
умисний;-1
унікальність;1
упускати;-1
уразливий;-1
урожайний;1
урочистий;2
усвідомлювати;1
ускладнення;-1
ускладнювати;-1
ускладнюватися;-1
усміхнений;1
успіх;1
успішно;2
усувати;-1
утопічний;-1
утруднення;-1
ухилятися;-1
училка;-1
ущербний;-2
фальсифікація;-1
фальсифікувати;-1
фальшивий;-1
фамільярний;-1
фанатизм;-1
фанатик;-1
фантастичний;1
фатальний;-1
фашист;-1
фашистський;-1
феномен;1
феноменальний;1
фешенебельний;1
фігня;-2
фіговий;-1
фіктивний;-1
філігранний;1
формальний;-1
фотогенічний;1
хабар;-1
хабарник;-2
хакерський;-1
халява;1
хамський;-1
хамуватий;-2
хаотичний;-1
харизматичний;1
хвалений;-1
хвалитися;-1
хвилювання;-1
хворіти;-1
хвороба;-1
хворобливий;-1
хер;-2
хижак;-1
химерний;-1
хирлявий;-1
хисткий;-1
хитатися;-1
хитрий;1
хитрість;-1
ховати;-2
холод;-1
хоробрий;1
хоробрість;1
хороший;1
хохол;-1
хрипота;-1
хрустіти;-1
хтивий;-1
худий;-1
хуй;-1
хуйня;-1
хуліган;-1
хуліганський;-2
цвинтар;-1
цвілий;-1
цивілізаційний;1
цинізм;-1
цинічний;-1
цілеспрямований;1
цілісний;1
цілувати;1
цілющий;1
цінний;1
цінність;1
цнотливий;1
цунамі;1
чадний;-1
чарівний;1
чарівність;2
чекіст;-1
чеснота;1
чеченець;-1
чиновницький;-1
чистенький;1
чистота;1
читабельний;1
чіткість;1
чорнити;-2
чорт;-1
чудесний;2
чудовий;2
чудово;2
чудодійний;1
чудотворний;1
чужорідний;-1
чуйний;1
шаблонний;-1
шайка;-1
шаленість;-1
шана;1
шанувати;1
шахід;-2
шахраї;-1
шахрайство;-1
шахраюватий;-2
швидкозростаючий;1
шедевр;1
шизофренічний;-1
ширвжиток;-2
шкідливий;-1
шкідницький;-1
шкодоносний;-2
шовінізм;-1
шок;-1
шокувати;-1
шпигунство;-2
шприц;-1
штормовий;-1
штрафувати;-1
штурмувати;-1
щасливий;1
щастя;2
щедрий;1
щедро;1
щирий;1
щирість;1
щурячий;-2
якісний;1
якісно;1
янгол;1
яскравий;1
ясний;1
ясність;1
